video_id,title,publishedAt,viewCount,likeCount
1Qp_b3yS_YA,Regular Expressions in Python: Positional formatting,2020-10-23T18:30:33Z,2129,21
2OQC-Z_KQ6s,Python for Spreadsheet Users,2020-10-21T14:01:48Z,43820,13
UpejEaELHHE,R Programming Track by DataCamp,2020-10-21T13:58:14Z,237818,6
4GwAT9rz6GU,Learn Data Science Online!,2020-10-21T13:55:43Z,584929,27
-JWgi9jupmU,Learn Data Science Online with DataCamp!,2020-10-21T13:49:49Z,882616,24
7ud8QhUHmmQ,Meet the new DataCamp!,2020-10-21T13:40:15Z,13778,86
SV7Is9IPNk8,Object-Oriented Programming in Python: What is OOP?,2020-10-04T19:05:08Z,4230,69
rs0P8wLLDEQ,Data Visualization for Everyone: Box plots,2020-09-25T18:03:09Z,4573,26
IbRokvcf6Ow,Data Manipulation with pandas: Counting,2020-09-25T17:42:40Z,1806,24
F0tQ1YG6BWQ,Data Manipulation with pandas: Sorting and subsetting,2020-09-25T17:19:23Z,2501,46
w-pGkEvGYao,Data Manipulation with Pandas: New Columns,2020-08-19T00:23:05Z,2041,8
dfgIoThVpkc,Data Types for Data Science in Python: Counting made easy,2020-08-19T00:14:53Z,1106,12
v6yf43eOqjM,Writing Efficient Python Code: pandas alternative to looping,2020-08-18T23:57:15Z,7169,47
UQIUhGWYg6Q,Intermediate Python: Pandas,2020-08-18T23:25:27Z,3861,29
NX4eCKJHb5M,Statistical Thinking in Python (Part 1): Random number generators and hacker statistics,2020-08-17T20:04:48Z,2265,22
xTtwkfGLGus,Python Data Science Toolbox: Lambda functions50,2020-08-04T01:56:32Z,4283,39
h3D-wC7XfI0,Data Processing in Shell: Python package installation with pip,2020-08-04T01:07:51Z,3034,12
E2bKxhix3aU,Introduction to Python for Finance: Arrays,2020-07-22T20:55:54Z,3349,24
4g9w0mHycbs,Data Manipulation with Pandas: Reading and writing CSVs,2020-06-30T12:42:11Z,2942,22
KLZlc2JNmws,Intermediate Python: for loop,2020-06-26T20:13:53Z,3761,39
XSEtklOfWsQ,Introduction to R for Finance: Data frame manipulation,2020-06-26T18:14:24Z,4881,29
MwyD9PmyW3k,Introduction to Python: Python Lists,2020-06-25T13:55:35Z,1704,14
II0IvuHfTzo,Introduction to Python: Subsetting Lists,2020-06-25T13:46:23Z,1656,14
WM-RRXpTku8,Intermediate Python: Dictionaries,2020-06-25T13:37:05Z,2380,15
ZpPThiEKzQU,Python for Spreadsheet Users: Preparing to put tables together,2020-06-25T13:24:20Z,2211,11
fxszBuW3V-o,"Intermediate Python: if, elif, else",2020-06-25T13:23:24Z,6484,23
-V-F-S9v__c,Intermediate Python: While Loop,2020-06-25T02:16:21Z,4269,34
lnTq2kjUzhw,Introduction to Python for Finance: List methods and functions,2020-06-16T01:06:37Z,5011,33
KpCLm7EBOkc,DataCamp Introduction to Power BI,2020-05-29T16:19:50Z,312025,41
E06ntGRTSEM,Spreadsheets Tutorial: How far from average?,2020-04-22T11:45:32Z,994,8
lSRBPA5j57o,Spreadsheets Tutorial: Introduction to Statistics in Spreadsheets,2020-04-22T11:41:51Z,1255,16
Xg54m8f5sJI,Spreadsheets Tutorial: Standardizing data,2020-04-22T11:41:34Z,6458,71
gEXzYbH20Gc,Python Tutorial: Fraud detection algorithms in action,2020-04-22T05:21:19Z,11620,141
rALkbGCm3_U,Python Tutorial: Increasing successful detections using data resampling,2020-04-22T05:18:59Z,703,8
eu1NQW5Z5wk,Python Tutorial: Introduction to fraud detection,2020-04-22T05:15:59Z,2980,41
a6H9-9tHTF8,R Tutorial: Getting to know your raster data,2020-04-22T05:09:35Z,3020,29
BqSKGRRMeoA,R Tutorial: Getting to know your vector data,2020-04-22T05:09:03Z,463,3
Nh_UqP0Vl28,Spreadsheets Tutorial : Introduction to Pivot Tables,2020-04-19T04:29:08Z,541,4
i3bK77IlMoI,Spreadsheets Tutorial : Pivot Table Values,2020-04-19T04:28:27Z,542,2
klllBBeAwxs,Spreadsheets Tutorial : Organizing Rows and Columns,2020-04-19T04:27:06Z,243,2
sMtWztpmFTg,Python Tutorial : Transforming features for better clusterings,2020-04-19T04:11:43Z,811,6
pKBUmK4XT2I,Python Tutorial : Evaluating a clustering,2020-04-19T04:10:29Z,10926,77
0n3_2Ry4EQU,Python Tutorial : Unsupervised Learning in Python,2020-04-19T04:07:41Z,2423,26
Pjy5ew2mSA4,R Tutorial : Discretize a variable,2020-04-19T04:02:26Z,3946,19
MAMdjXjbDnw,R Tutorial : Visualizing numerical data,2020-04-19T04:02:00Z,903,4
y3YL5dUJNvc,R Tutorial : Categorical data in R: factors,2020-04-19T03:58:28Z,7405,62
QqS25yJV9pk,R Tutorial : Types of variables,2020-04-19T03:57:22Z,5284,44
JOw41LVjLAk,R Tutorial : Introduction to Data in R,2020-04-19T03:54:40Z,498,3
amw0A0AJs1c,R Tutorial : Three ways to describe a model,2020-04-19T03:48:22Z,397,3
_Iy8FdgG93Q,R Tutorial : Interpreting parallel slopes coefficients,2020-04-19T03:46:51Z,284,0
AGmlSm5bnfE,R Tutorial : Visualizing parallel slopes models,2020-04-19T03:45:04Z,974,4
XTJU_mnIrRU,R Tutorial : Multiple and logistic regression,2020-04-19T03:39:34Z,2747,8
Jw4aVc0QN0Y,Python Tutorial : Logistic regression,2020-04-19T03:28:12Z,908,10
zv8FRilsQE8,Python Tutorial : Using the logistic regression model,2020-04-19T03:26:21Z,403,5
6HwS4aNf2jM,Python Tutorial : Introduction and basetable structure,2020-04-19T03:24:33Z,228,1
lbbfP28ZyZo,Python Tutorial : Quantifying Linear Relationships,2020-04-19T03:19:43Z,214,2
QrCMbYmdMrc,Python Tutorial : Introduction to Linear Modeling in Python,2020-04-19T03:17:37Z,323,4
4aeBxNfj43w,Python Tutorial : Visualizing Linear Relationships,2020-04-19T03:13:20Z,283,2
hKpMXZrRgLg,R Tutorial : Limitations of linear models,2020-04-19T03:06:20Z,9096,8
xgifo6nFo1s,R Tutorial : Poisson regression,2020-04-19T03:03:33Z,14578,87
IEa4v2vLbJg,R Tutorial : Basic lm() functions with glm(),2020-04-19T03:00:30Z,10681,40
ggiX0EfC-zI,Python Tutorial : Clean and Validate,2020-04-19T02:53:40Z,186,0
mfAbxlaND6o,Python Tutorial : Filter and Visualize,2020-04-19T02:50:58Z,1403,4
pbnEVIWX4is,Python Tutorial : Dataframes and Series,2020-04-19T02:46:11Z,292,5
f8WlA_HU484,Python Tutorial : Going beyond linear regression,2020-04-19T02:40:58Z,846,7
__oC5IRCFKI,Python Tutorial : How to fit a GLM in Python?,2020-04-19T02:38:47Z,10479,88
528hODu9hvY,Python Tutorial : How to build a GLM?,2020-04-19T02:34:41Z,8986,69
