films,shortFilms,tvShows,videoGames,parkAttractions,allies,enemies,_id,name,url
['Pirates of the Caribbean: On Stranger Tides'],[],[],"['LEGO Pirates of the Caribbean: The Video Game', 'Disney Universe', 'Disney Crossy Road']","['World of Color', ""Mickey's Boo-to-You Halloween Parade""]",[],[],248,Angelica,https://api.disneyapi.dev/characters/248
['Pollyanna'],[],[],[],[],[],[],249,Angelica,https://api.disneyapi.dev/characters/249
"['Beauty and the Beast: The Enchanted Christmas', ""Mickey's Once Upon a Christmas""]",[],[],[],['Be Our Guest Restaurant'],[],[],250,Angelique,https://api.disneyapi.dev/characters/250
['Princess Protection Program'],[],[],[],[],[],[],251,Brooke Angels,https://api.disneyapi.dev/characters/251
"[""Pirates of the Caribbean: Dead Man's Chest"", ""Pirates of the Caribbean: At World's End""]",[],[],"[""Pirates of the Caribbean: At World's End (video game)"", 'LEGO Pirates of the Caribbean: The Video Game']",[],[],[],252,Angler,https://api.disneyapi.dev/characters/252
[],[],['Tangled: The Series'],[],[],[],[],253,Angry and Red,https://api.disneyapi.dev/characters/253
['Mary Poppins Returns'],[],[],[],[],[],[],254,Angus,https://api.disneyapi.dev/characters/254
"['Fantasia', 'Dinosaur']",[],['Miles from Tomorrowland'],[],[],[],[],255,Ankylosaurus,https://api.disneyapi.dev/characters/255
"['Frozen', 'Frozen II', 'Ralph Breaks the Internet']","['Frozen Fever', 'The Art of Keeping Cool', ""Olaf's Frozen Adventure"", 'Once Upon a Snowman']","[""It's a Small World: The Animated Series"", 'Once Upon a Time', 'Frozen: Northern Lights']","[""Frozen: Olaf's Quest"", 'Frozen Free Fall', 'Disney Infinity (series)', 'Hidden Worlds', 'Disney Magical World 2', 'Disney Tsum Tsum (game)', 'Disney Emoji Blitz', 'Disney Enchanted Tales (game)', 'Disney Magic Kingdoms', 'Disney Magical Dice', 'Kingdom Hearts Union χ', 'Kingdom Hearts III', 'Disney Getaway Blast', ""Disney Sorcerer's Arena""]","['World of Color', 'Disney Dreams!', 'Celebrate the Magic', 'Festival of Fantasy Parade', 'Princess Fairytale Hall', ""Mickey's Soundsational Parade"", ""Mickey's Once Upon a Christmastime Parade"", 'A Christmas Fantasy Parade', 'A Frozen Holiday Wish', 'Paint the Night Parade', 'Fantasmic!', 'Frozen Ever After', 'Mickey and the Wondrous Book', ""Mickey's Royal Friendship Faire"", 'Frozen: Live at the Hyperion', ""Mickey's Storybook Express"", 'Golden Fairytale Fanfare', 'Ignite the Dream: A Nighttime Spectacular of Magic and Light', 'Once Upon a Time (Tokyo Disneyland)', 'Happily Ever After (fireworks show)', ""It's a Small World""]",[],[],256,Anna,https://api.disneyapi.dev/characters/256
['The Princess Diaries'],[],[],[],[],[],[],257,Anna and Fontana,https://api.disneyapi.dev/characters/257
[],[],['Tower of Terror (film)'],[],[],[],[],258,Anna Petterson,https://api.disneyapi.dev/characters/258
['Mary Poppins Returns'],[],[],[],[],[],[],259,Annabel Banks,https://api.disneyapi.dev/characters/259
['Pocahontas II: Journey to a New World'],[],[],[],[],[],[],260,Queen Anne,https://api.disneyapi.dev/characters/260
[],[],['Amphibia'],[],[],[],[],261,Anne Boonchuy,https://api.disneyapi.dev/characters/261
"['Lady and the Tramp', ""Lady and the Tramp II: Scamp's Adventure"", 'Lady and the Tramp (2019 film)']",[],[],[],[],[],[],262,"Annette, Collette, and Danielle",https://api.disneyapi.dev/characters/262
"['Our Huge Adventure', ""Rocket's Firebird Rescue""]",[],['Little Einsteins'],[],"['Disney Junior - Live on Stage!', ""Disney's Hollywood Studios""]",[],[],263,Annie,https://api.disneyapi.dev/characters/263
['Annie (1999 film)'],[],[],[],[],[],[],264,Annie,https://api.disneyapi.dev/characters/264
[],[],['The Proud Family'],[],[],[],[],265,Duke Anoi,https://api.disneyapi.dev/characters/265
[],[],[],['Tron: Evolution'],[],[],[],266,Anon,https://api.disneyapi.dev/characters/266
[],[],['Super Robot Monkey Team Hyperforce Go!'],[],[],[],[],267,Antauri,https://api.disneyapi.dev/characters/267
['The Happiest Millionaire'],[],[],[],[],[],[],268,Anthony Biddle,https://api.disneyapi.dev/characters/268
[],[],['Tangled: The Series'],[],[],[],[],269,Anthony the Weasel,https://api.disneyapi.dev/characters/269
['Alice in Wonderland (1951 film)'],[],[],[],[],[],[],270,"Anthropomorphic ""Drink Me"" Bottle",https://api.disneyapi.dev/characters/270
[],[],[],[],[],[],[],271,Anti-Heroes Club,https://api.disneyapi.dev/characters/271
"['Honey, I Shrunk the Kids']",[],[],[],"['Honey, I Shrunk the Kids: Movie Set Adventure']",[],[],272,Antie,https://api.disneyapi.dev/characters/272
[],[],['Quack Pack'],[],[],[],[],273,Antoinette,https://api.disneyapi.dev/characters/273
